Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I going make with the bottle and de the cookie,"bottle,cookie",object,bottle/cookie,object,object,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I making bread,bread,object,bread,object,object,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I goin to make my me me me a cake,cake,object,cake,object,object,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I goin make a grapefruit,grapefruit,object,grapefruit,object,object,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I making a grapefruit,grapefruit,object,grapefruit,object,object,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],we're making street light,light,object,streetlight,object,object,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I making plates,plate,object,plate,object,object,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I goin make a spoon,spoon,object,spoon,object,object,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I wan  make some more,some,pronoun,some,pronoun,pronoun,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I making xxx,xxx,,xxx,,0,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I making a,,,,,0,,,
Brown,adam29.xml,['Adam'],make|makes|making|maked,['P3Y4M18D'],why dis this make lines,line,object,lines,object,object,,,
Brown,adam30.xml,['Adam'],make|makes|making|maked,['P3Y5M1D'],stop that make up make up,make up,event,make up,event,event,,,
Brown,adam30.xml,['Adam'],make|makes|making|maked,['P3Y5M1D'],dey they going to make a chimney,chimney,object,chimney,object,object,,,
Brown,adam30.xml,['Adam'],make|makes|making|maked,['P3Y5M1D'],I going to make a school,school,object,school,object,object,,,
Brown,adam30.xml,['Adam'],make|makes|making|maked,['P3Y5M1D'],can I make him a tree after I finish dis this,tree,object,tree,object,object,,,
Brown,adam30.xml,['Adam'],make|makes|making|maked,['P3Y5M1D'],can I make what I want,,,,,0,?,,
